[2026-02-25 12:55:10,095] 19 root - Initiate the Data ingestion
[2026-02-25 12:55:20,552] 65 root - Performed train test split on the Dataframe
[2026-02-25 12:55:20,552] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 12:55:20,552] 71 root - exporting train and test file path.
[2026-02-25 12:55:20,558] 79 root - Exported train and test file path
[2026-02-25 12:55:20,558] 21 root - Data Ingestion completed
[2026-02-25 12:55:20,563] 25 root - Initiate Data validation
[2026-02-25 12:55:20,626] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:55:20,627] 42 root - Dataframe has columns:10
[2026-02-25 12:55:20,627] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:55:20,627] 42 root - Dataframe has columns:10
[2026-02-25 12:55:20,647] 27 root - data validation completed
[2026-02-25 12:55:20,649] 29 root - Data Transformation Initiatiated
[2026-02-25 12:55:20,649] 71 root - Entered initiate_data_transformation method of DataTransformation class
[2026-02-25 12:55:20,649] 74 root - starting data transformation
[2026-02-25 12:55:20,654] 55 root - Entered get_data_transformer_object method of Transformation class
[2026-02-25 12:55:20,654] 61 root - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-25 12:55:20,660] 48 root - Enter the save_object method of mainUtils class
[2026-02-25 12:55:20,662] 52 root - Exited the save_object method of Mainutils class
[2026-02-25 12:55:20,664] 34 root - Data Transformation Completed
