[2026-02-25 12:53:08,837] 19 root - Initiate the Data ingestion
[2026-02-25 12:53:18,221] 65 root - Performed train test split on the Dataframe
[2026-02-25 12:53:18,221] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 12:53:18,221] 71 root - exporting train and test file path.
[2026-02-25 12:53:18,241] 79 root - Exported train and test file path
[2026-02-25 12:53:18,241] 21 root - Data Ingestion completed
[2026-02-25 12:53:18,249] 25 root - Initiate Data validation
[2026-02-25 12:53:18,309] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:53:18,309] 42 root - Dataframe has columns:10
[2026-02-25 12:53:18,309] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 12:53:18,309] 42 root - Dataframe has columns:10
[2026-02-25 12:53:18,326] 27 root - data validation completed
[2026-02-25 12:53:18,327] 29 root - Data Transformation Initiatiated
[2026-02-25 12:53:18,327] 71 root - Entered initiate_data_transformation method of DataTransformation class
[2026-02-25 12:53:18,327] 74 root - starting data transformation
[2026-02-25 12:53:18,332] 55 root - Entered get_data_transformer_object method of Transformation class
[2026-02-25 12:53:18,332] 61 root - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-25 12:53:18,343] 48 root - Enter the save_object method of mainUtils class
[2026-02-25 12:53:18,345] 52 root - Exited the save_object method of Mainutils class
