[2026-02-25 20:06:06,468] 20 root - Initiate the Data ingestion
[2026-02-25 20:06:16,870] 65 root - Performed train test split on the Dataframe
[2026-02-25 20:06:16,870] 67 root - Exited split_data_as_train_test method od Data_Ingestion class
[2026-02-25 20:06:16,871] 71 root - exporting train and test file path.
[2026-02-25 20:06:16,875] 79 root - Exported train and test file path
[2026-02-25 20:06:16,875] 22 root - Data Ingestion completed
[2026-02-25 20:06:16,879] 26 root - Initiate Data validation
[2026-02-25 20:06:16,906] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 20:06:16,907] 42 root - Dataframe has columns:10
[2026-02-25 20:06:16,907] 41 root - Required number of columns:{number_of_columns}
[2026-02-25 20:06:16,907] 42 root - Dataframe has columns:10
[2026-02-25 20:06:16,918] 28 root - data validation completed
[2026-02-25 20:06:16,918] 30 root - Data Transformation Initiatiated
[2026-02-25 20:06:16,918] 71 root - Entered initiate_data_transformation method of DataTransformation class
[2026-02-25 20:06:16,918] 74 root - starting data transformation
[2026-02-25 20:06:16,922] 55 root - Entered get_data_transformer_object method of Transformation class
[2026-02-25 20:06:16,922] 61 root - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-02-25 20:06:16,927] 50 root - Enter the save_object method of mainUtils class
[2026-02-25 20:06:16,928] 54 root - Exited the save_object method of Mainutils class
[2026-02-25 20:06:16,928] 35 root - Data Transformation Completed
[2026-02-25 20:06:16,928] 37 root - Model Training started
[2026-02-25 20:06:18,167] 124 root - Best Model: Random Forest
[2026-02-25 20:06:18,167] 125 root - Best Score: 0.8892988929889298
[2026-02-25 20:06:18,207] 50 root - Enter the save_object method of mainUtils class
[2026-02-25 20:06:18,212] 54 root - Exited the save_object method of Mainutils class
[2026-02-25 20:06:22,523] 42 root - model Training artifact created
